student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,task_completed,final_test_passed,final_test_total,session_duration_s
11692,2,8,0,100.67,18.14,1.18,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1.18,1.18,0,0.0,16.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,55,262,0,0,1,4,4,2127.22
11692,3,8,0,142.0,41.33,23.5,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,17.78,17.78,0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,27,417,0,0,1,4,4,2127.22
11692,4,8,0,160.79,18.79,1.65,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1.65,1.65,0,0.0,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,18,255,0,0,1,4,4,2127.22
11692,8,8,0,222.74,30.01,12.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,12.59,12.59,0,0.0,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.59,0.0,0.0,27,634,0,0,1,4,4,2127.22
11693,1,4,1,122.92,0.0,107.92,6,0.0556,6,0,0,6,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,46.59,84.48,1,0.0,0.0,0.0,5.3,0.0,0.0,88.52,0.0,5.3,0.0,0.0,0.0,88.52,0.0,0.0,14.09,4,286,0,0,1,4,4,971.93
11693,2,4,0,156.72,33.8,16.68,19,1.1393,13,6,6,7,0.3158,1,0,0,0.0,0,0,0.0,0.0,1,1,0,3.4,4.35,4.35,0,0.0,0.06,3.47,0.0,13.21,0.0,0.0,0.0,0.0,13.21,0.0,0.0,0.0,3.47,0.0,0.0,8,439,3,4,1,4,4,971.93
11693,3,4,0,183.75,27.03,9.5,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.5,9.5,0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,30,269,3,4,1,4,4,971.93
11693,4,4,0,373.82,190.07,172.82,78,0.4513,54,24,24,30,0.3077,18,0,0,3.59,0,0,0.0,0.0,2,1,0,59.24,33.48,130.79,6,26.53,13.34,13.34,0.0,36.26,0.0,0.0,0.0,0.0,36.26,0.0,0.0,0.0,13.34,123.22,0.0,21,446,3,4,1,4,4,971.93
11694,1,16,1,103.78,0.0,88.78,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,73.42,85.07,0,0.0,0.0,0.0,0.0,0.0,0.0,88.78,0.0,0.0,0.0,0.0,0.0,88.78,0.0,0.0,0.0,395,286,0,0,1,4,4,961.23
11694,2,16,0,136.45,32.67,15.7,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,15.7,15.7,0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,37,249,0,0,1,4,4,961.23
11694,3,16,0,162.22,25.77,8.06,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.06,8.06,0,0.0,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,60,285,0,0,1,4,4,961.23
11694,4,16,0,206.92,44.7,27.72,36,1.2986,34,2,2,32,0.0556,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,5.32,8.97,0,0.0,2.36,2.36,24.91,0.0,0.0,0.0,0.0,24.91,0.0,0.0,0.0,0.0,2.35,0.0,0.45,27,275,0,0,1,4,4,961.23
11694,5,16,0,234.18,27.26,10.75,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,10.75,10.75,0,0.0,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,17,319,0,0,1,4,4,961.23
11694,6,16,0,263.18,28.99,11.38,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,11.38,11.38,0,0.0,26.38,0.0,11.38,0.0,0.0,0.0,0.0,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,331,0,0,1,4,4,961.23
11694,7,16,0,282.45,19.27,2.28,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,2.28,2.28,0,0.0,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,54,461,0,0,1,4,4,961.23
11694,8,16,0,320.61,38.17,17.92,10,0.558,10,0,0,10,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.83,0.0,0,0.0,0.83,0.83,2.54,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.83,0.0,14.54,26,385,0,0,1,4,4,961.23
11694,9,16,0,343.2,22.59,5.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,5.59,5.59,0,0.0,20.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,0.0,21,488,0,0,1,4,4,961.23
11694,10,16,0,370.64,27.44,9.89,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.89,9.89,0,0.0,24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89,0.0,0.0,34,661,0,0,1,4,4,961.23
11694,11,16,0,409.52,38.88,18.15,15,0.8266,15,0,0,15,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,13.81,13.81,0,0.0,13.81,13.81,4.33,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,13.81,0.0,0.0,36,625,0,0,1,4,4,961.23
11694,12,16,0,447.03,37.51,19.93,12,0.602,12,0,0,12,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,7.19,7.19,0,0.0,8.28,8.28,4.95,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,8.27,0.0,6.71,47,879,0,0,1,4,4,961.23
11694,13,16,0,513.64,66.61,47.92,49,1.0225,49,0,0,49,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,19.87,26.93,0,0.0,19.87,19.87,20.07,0.0,0.0,0.0,0.0,20.07,0.0,0.0,0.0,0.0,19.87,0.0,7.98,39,612,0,0,1,4,4,961.23
11694,14,16,0,604.77,91.13,73.2,9,0.123,5,0,0,5,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,25.34,43.59,0,0.0,25.34,25.34,0.84,27.62,0.0,0.0,0.0,0.84,27.62,0.0,0.0,0.0,25.87,0.0,18.86,7,363,0,0,1,4,4,961.23
11694,15,16,0,633.78,29.02,11.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,11.59,11.59,0,0.0,26.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.59,0.0,0.0,12,508,4,4,1,4,4,961.23
11694,16,16,0,654.18,20.39,2.93,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1.19,0.0,0,0.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,49,793,4,4,1,4,4,961.23
11695,1,10,1,123.78,0.0,108.78,21,0.1931,16,5,5,11,0.2381,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,41.14,86.29,0,0.0,0.0,0.0,9.07,0.0,0.0,89.57,0.0,9.07,0.0,0.0,0.0,89.57,0.0,0.0,10.13,38,314,0,0,1,4,4,980.79
11695,2,10,0,146.03,22.25,4.68,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.35,0.0,0,0.0,19.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,7,319,0,0,1,4,4,980.79
11695,3,10,0,181.26,35.23,17.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.65,8.65,0,0.0,32.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.59,0.0,0.0,7,454,0,0,1,4,4,980.79
11695,4,10,0,205.4,24.14,6.29,2,0.3178,2,0,0,2,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,4.04,4.04,0,0.0,6.11,6.11,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,6.11,0.0,0.0,18,355,0,0,1,4,4,980.79
11695,5,10,0,260.28,54.88,37.63,16,0.4252,16,0,0,16,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,10.6,24.59,0,0.0,13.27,13.27,10.31,0.0,0.0,0.0,0.0,10.31,0.0,0.0,0.0,0.0,13.27,0.0,14.05,16,492,0,0,1,4,4,980.79
11695,6,10,0,329.42,69.14,50.96,19,0.3728,4,15,15,-11,0.7895,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,10.51,35.91,0,0.0,12.88,12.88,12.93,0.0,0.0,0.0,0.0,12.93,0.0,0.0,0.0,0.0,12.88,0.0,25.16,4,407,0,0,1,4,4,980.79
11695,7,10,0,352.04,22.62,4.05,5,1.2349,3,2,2,1,0.4,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1.21,0.0,0,0.0,1.16,1.16,2.89,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,1.16,0.0,0.0,3,312,0,0,1,4,4,980.79
11695,8,10,0,478.81,126.77,110.14,98,0.8898,69,29,29,40,0.2959,1,0,0,0.0,0,0,0.0,0.0,1,1,0,2.01,27.73,65.8,0,0.0,8.76,8.76,34.21,23.3,0.0,0.0,2.04,34.21,21.26,2.04,0.0,0.0,8.75,0.0,43.88,14,387,3,4,1,4,4,980.79
11695,9,10,0,625.34,146.53,127.75,216,1.6908,113,103,103,10,0.4769,1,1,1,0.0,1,0,2.59,2.59,0,0,0,0.0,7.04,44.43,0,0.0,0.12,0.12,0.0,118.6,0.0,0.0,2.63,0.0,115.97,2.63,0.0,0.0,0.12,9.02,0.0,4,328,3,4,1,4,4,980.79
11695,10,10,0,684.48,59.14,42.08,75,1.7825,34,40,40,-6,0.5333,1,1,1,0.0,1,0,2.74,2.74,0,0,0,0.0,6.12,9.14,0,0.0,6.31,6.31,0.0,32.08,0.0,0.0,0.0,0.0,32.08,0.0,0.0,0.0,6.31,3.68,0.0,14,296,3,4,1,4,4,980.79
11696,1,2,1,107.83,0.0,92.83,29,0.3124,19,10,10,9,0.3448,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,12.14,75.0,2,4.99,0.0,0.0,28.41,0.0,0.0,34.77,0.0,28.41,0.0,0.0,0.0,34.77,0.0,0.0,29.65,30,240,0,0,1,4,4,967.2
11696,2,2,0,222.48,114.65,97.76,39,0.399,38,1,1,37,0.0256,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,21.78,59.82,2,21.78,34.34,34.34,33.76,0.0,0.0,0.0,0.0,33.76,0.0,0.0,0.0,0.0,34.34,0.0,29.66,27,455,0,0,1,4,4,967.2
11697,1,9,1,68.38,0.0,53.38,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,17.06,40.95,0,0.0,0.0,0.0,0.0,0.0,3.29,50.09,0.0,0.0,0.0,0.0,3.29,50.09,0.0,0.0,0.0,104,93,0,0,1,4,4,1048.84
11697,3,9,0,107.74,28.48,3.6,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,3.6,3.6,0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,12,204,0,0,1,4,4,1048.84
11697,5,9,0,142.81,22.43,5.28,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,5.28,5.28,0,0.0,20.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,0.0,0.0,29,339,0,0,1,4,4,1048.84
11697,6,9,0,288.75,145.94,125.93,88,0.6988,76,11,11,65,0.125,2,2,1,19.82,2,0,20.37,20.37,0,0,0,0.0,21.51,80.74,0,0.0,9.12,9.12,34.62,12.54,0.0,0.0,0.0,34.62,12.54,0.0,0.0,0.0,9.12,52.73,16.92,100,577,0,0,1,4,4,1048.84
11697,7,9,0,336.9,48.14,30.36,32,1.0539,28,4,4,24,0.125,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.05,13.76,0,0.0,3.87,3.87,0.0,18.44,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0,3.87,8.05,0.0,28,923,0,0,1,4,4,1048.84
11697,8,9,0,359.17,22.28,2.69,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,2.69,2.69,0,0.0,17.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,163,992,0,0,1,4,4,1048.84
11697,9,9,0,600.9,241.73,217.2,179,0.8241,147,26,26,121,0.1453,14,1,1,12.84,1,0,6.79,6.79,0,0,0,0.0,22.88,109.47,22,52.36,29.33,36.13,0.0,77.78,1.08,0.0,0.0,0.0,77.78,0.0,1.08,0.0,69.9,68.44,0.0,72,741,4,4,1,4,4,1048.84
11698,1,9,1,88.19,0.0,73.19,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,16.68,22.28,0,0.0,0.0,0.0,0.0,0.0,0.0,73.19,0.0,0.0,0.0,0.0,0.0,73.19,0.0,0.0,0.0,394,160,0,0,1,4,4,992.66
11698,2,9,0,143.55,55.35,38.9,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,34.98,34.98,0,0.0,53.9,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,2.45,0.0,36.45,0.0,0.0,56,147,0,0,1,4,4,992.66
11698,3,9,0,160.91,17.37,0.65,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.65,0.65,0,0.0,15.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,32,164,0,0,1,4,4,992.66
11698,4,9,0,235.3,74.38,57.15,47,0.8224,38,9,9,29,0.1915,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,10.32,27.76,0,0.0,4.32,4.32,27.07,0.0,9.14,0.0,0.0,27.07,0.0,0.0,9.14,0.0,4.32,0.0,16.62,51,217,0,0,1,4,4,992.66
11698,5,9,0,333.32,98.02,80.44,51,0.634,47,4,4,43,0.0784,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,21.85,61.65,0,0.0,29.19,29.19,0.0,26.82,0.0,0.0,0.0,0.0,26.82,0.0,0.0,0.0,29.19,24.43,0.0,134,304,0,0,1,4,4,992.66
11698,6,9,0,384.06,50.74,34.08,25,0.7337,23,0,0,23,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.28,16.19,0,0.0,15.7,15.7,0.0,14.82,0.0,0.0,0.0,0.0,14.82,0.0,0.0,0.0,19.25,0.0,0.0,158,301,0,0,1,4,4,992.66
11698,7,9,0,527.14,143.09,125.66,55,0.4377,42,11,11,31,0.2,10,0,0,1.3,0,0,0.0,0.0,2,2,0,16.56,50.32,94.55,0,0.0,50.32,50.32,0.0,38.87,0.0,0.0,0.0,0.0,38.87,0.0,0.0,0.0,53.63,33.17,0.0,31,302,2,4,1,4,4,992.66
11698,8,9,0,565.39,38.24,21.56,13,0.6029,8,4,4,4,0.3077,5,0,0,0.0,0,0,0.0,0.0,1,1,0,5.35,5.82,5.82,0,0.0,5.82,5.82,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.19,5.37,0.0,23,305,3,4,1,4,4,992.66
11698,9,9,0,652.69,87.31,70.36,4,0.0568,1,2,2,-1,0.5,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,17.98,17.98,0,0.0,17.98,17.98,0.0,1.43,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,18.92,50.01,0.0,3,260,3,4,1,4,4,992.66
11699,1,6,1,292.75,0.0,277.75,142,0.5113,125,17,17,108,0.1197,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,73.79,210.86,0,0.0,0.0,0.0,111.33,0.0,0.39,111.03,0.0,111.33,0.0,0.0,0.39,111.03,0.0,0.0,55.0,31,527,0,0,1,4,4,994.61
11699,2,6,0,396.91,104.16,85.78,39,0.4547,31,6,6,25,0.1538,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,39.93,67.8,0,0.0,39.93,39.93,0.0,25.25,0.0,0.0,0.0,0.0,25.25,0.0,0.0,0.0,40.32,20.21,0.0,42,343,0,0,1,4,4,994.61
11699,3,6,0,529.75,132.84,114.72,73,0.6364,65,7,7,58,0.0959,5,1,1,22.78,1,0,4.33,4.33,4,4,0,9.15,16.7,65.18,0,0.0,12.0,12.0,0.0,62.04,0.0,0.0,1.74,0.0,60.3,1.74,0.0,0.0,12.0,40.68,0.0,49,404,3,4,1,4,4,994.61
11699,4,6,0,597.82,68.07,48.21,25,0.5186,23,2,2,21,0.08,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,19.69,38.22,0,0.0,9.56,9.56,0.0,12.26,0.03,0.0,0.0,0.0,12.26,0.0,0.03,0.0,9.56,26.36,0.0,62,255,3,4,1,4,4,994.61
11699,5,6,0,648.72,50.91,34.36,21,0.6112,21,0,0,21,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,14.56,17.65,0,0.0,15.12,15.12,0.0,15.43,0.0,0.0,0.0,0.0,15.43,0.0,0.0,0.0,15.12,3.81,0.0,46,642,3,4,1,4,4,994.61
11699,6,6,0,711.81,63.09,44.23,25,0.5652,17,8,8,9,0.32,13,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,26.66,26.66,0,0.0,28.19,28.19,0.0,8.93,0.0,0.0,0.0,0.0,8.93,0.0,0.0,0.0,28.19,7.12,0.0,31,445,4,4,1,4,4,994.61
11700,1,2,1,97.66,0.0,82.66,13,0.1573,10,3,3,7,0.2308,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,20.86,72.73,0,0.0,0.0,0.0,8.04,0.0,0.0,65.53,0.0,8.04,0.0,0.0,0.0,65.53,0.0,0.0,9.09,4,223,0,0,1,4,4,961.54
11700,2,2,0,181.76,84.1,66.79,19,0.2845,18,1,1,17,0.0526,2,0,0,0.03,0,0,0.0,0.0,1,0,0,0.0,17.88,50.13,0,0.0,31.81,31.81,14.84,0.0,0.0,0.0,0.0,14.84,0.0,0.0,0.0,0.0,31.81,0.0,20.13,28,209,3,4,1,4,4,961.54
11701,1,11,1,132.84,0.0,117.84,41,0.3479,36,5,5,31,0.122,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,21.69,81.98,0,0.0,0.0,0.0,33.28,0.0,6.79,65.83,0.0,33.28,0.0,0.0,6.79,65.83,0.0,0.0,11.94,61,275,0,0,1,4,4,997.05
11701,2,11,0,183.05,50.2,32.72,23,0.7029,20,3,3,17,0.1304,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,21.91,21.91,0,0.0,22.74,22.74,9.99,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,22.73,0.0,0.0,25,250,0,0,1,4,4,997.05
11701,3,11,0,206.43,23.38,6.03,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,6.03,6.03,0,0.0,21.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,0.0,0.0,24,230,0,0,1,4,4,997.05
11701,4,11,0,307.96,101.53,84.86,26,0.3064,13,13,13,0,0.5,7,5,1,8.84,5,0,6.57,14.48,1,1,0,12.51,14.82,56.44,2,14.82,11.12,11.12,0.0,20.48,2.06,0.0,1.84,0.0,18.64,1.84,2.06,0.0,11.12,51.2,0.0,28,308,2,4,1,4,4,997.05
11701,5,11,0,374.24,66.28,49.14,32,0.6511,30,2,2,28,0.0625,6,0,0,0.58,0,0,0.0,0.0,3,0,0,0.0,12.18,19.35,0,0.0,13.11,13.11,0.0,23.42,0.0,0.0,2.91,0.0,20.51,2.91,0.0,0.0,13.11,12.62,0.0,24,272,2,4,1,4,4,997.05
11701,6,11,0,411.14,36.9,19.74,2,0.1013,1,1,1,0,0.5,12,0,0,0.33,0,0,0.0,0.0,6,0,0,0.0,6.44,12.31,0,0.0,7.34,7.34,0.0,6.529999999999999,0.0,0.0,6.35,0.0,0.18,6.35,0.0,0.0,7.34,5.86,0.0,34,280,2,4,1,4,4,997.05
11701,7,11,0,548.21,137.07,120.21,149,1.2395,99,48,48,51,0.3221,8,1,1,13.39,1,0,6.72,6.72,2,1,0,8.42,10.27,40.95,0,0.0,11.19,11.19,0.0,81.94,0.0,0.0,0.0,0.0,81.94,0.0,0.0,0.0,11.19,27.07,0.0,22,375,3,4,1,4,4,997.05
11701,8,11,0,587.3,39.09,21.26,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,21.26,21.26,0,0.0,36.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.26,0.0,0.0,17,318,3,4,1,4,4,997.05
11701,9,11,0,684.74,97.44,79.89,13,0.1627,1,10,10,-9,0.7692,14,4,1,3.9,4,0,0.88,2.44,2,1,0,4.19,20.77,56.18,0,0.0,20.77,20.77,0.0,9.69,0.0,0.0,1.82,0.0,7.87,1.82,0.0,0.0,21.51,48.69,0.0,20,301,3,4,1,4,4,997.05
